item_id,query,plan,human_acceptable,human_error_type
nestful_000,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0=21, arg_1=1)
Step 1: {{1}} = divide(arg_0=190, arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",yes,none
nestful_001,"Cindy has her eye on a sundress but thinks it is too expensive. It goes on sale for 15% less than the original price. Before Cindy can buy the dress, however, the store raises the new price by 25%. If the dress cost $51 after it went on sale for 15% off, what is the difference between the original price and the final price?","Step 0: {{0}} = add(arg_0=99, arg_1=25)
Step 1: {{1}} = divide(arg_0='{{0}}', arg_1=100)
Step 2: {{2}} = multiply(arg_0=51, arg_1='{{1}}')
Step 3: {{3}} = subtract(arg_0=100, arg_1=15)
Step 4: {{4}} = divide(arg_0='{{3}}', arg_1=100)
Step 5: {{5}} = divide(arg_0=51, arg_1='{{4}}')
Step 6: {{6}} = subtract(arg_0='{{2}}', arg_1='{{5}}')",yes,none
nestful_002,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2198)
Step 1: {{1}} = surface_cube(arg_0='{{0}}')",yes,none
nestful_003,I have a string 'hello-world-123'. I want to remove all words with length 3 or less from it and then get the short hostname from the resulting string.,"Step 0: {{0}} = remove_short_words(text=42)
Step 1: {{1}} = short_hostname(node_name='{{0}}')",no,type_mismatch
nestful_004,The volume of a cube is 2197 cc. Find its surface.,"Step 0: {{0}} = cube_edge_by_volume(arg_0=2197)
Step 1: {{1}} = cube_edge_by_volume(arg_0=2197)
Step 2: {{2}} = surface_cube(arg_0='{{0}}')",yes,unnecessary_steps
nestful_005,"A is two years older than B who is twice as old as C. If the total of the ages of A, B and C be 37, the how old is B?","Step 0: {{0}} = subtract(arg_0=37, arg_1=2)
Step 1: {{1}} = multiply(arg_0='{{2}}', arg_1=2)
Step 2: {{2}} = add(arg_0=4, arg_1=1)
Step 3: {{3}} = divide(arg_0='{{1}}', arg_1='{{2}}')",no,forward_reference
nestful_006,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = add(arg_0=2, arg_1=1)
Step 4: {{4}} = subtract(arg_0='{{1}}', arg_1='{{3}}')",yes,unnecessary_steps
nestful_007,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = add(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",yes,none
nestful_008,"Given a + b = 1, find the value of 2a + 2b. Two solutions are presented below. Only
one is correct, even though both yield the correct answer.","Step 0: {{0}} = add(arg_0=2, arg_1=1)
Step 1: {{1}} = add(arg_0='{{0}}', arg_1=2)
Step 2: {{2}} = divide(arg_0=2, arg_1=1)
Step 3: {{3}} = subtract(arg_0='{{1}}', arg_1='{{2}}')",yes,none
nestful_009,"The operation is defined for all integers a and b by the equation ab = (a - 1)(b - 1). If x20 = 190, what is the value of x ?","Step 0: {{0}} = subtract(arg_0='{{2}}', arg_1=1)
Step 1: {{1}} = divide(arg_0=190, arg_1='{{0}}')
Step 2: {{2}} = add(arg_0='{{1}}', arg_1=1)",no,circular_dependency
